,Accession,root_inhib,inhib_ratio,gr_ratio
181,9885,0.1,0.9,0.474
182,9886,-0.46,1.46,0.522
183,9888,0.16,0.84,0.307
184,9890,0.19,0.81,0.323
185,9891,0.23,0.77,0.303
186,9892,0.05,0.95,0.559
187,9895,0.25,0.75,0.421
188,9897,0.24,0.76,0.342
189,9898,-0.12,1.12,0.633
190,9901,0.41,0.59,0.217
191,9902,0.28,0.72,0.352
192,9903,0.06,0.94,0.586
193,9904,0.31,0.69,0.297
194,9906,0.12,0.88,0.429
195,9927,0.08,0.92,0.55
196,9938,-0.38,1.38,0.379
197,9942,0.09,0.91,0.44
198,9948,0.0,1.0,0.541
199,9949,-0.01,1.01,0.385
200,9950,0.3,0.7,0.379
201,10005,0.32,0.68,0.322
